timestamp,fairBasis
2020-12-07 07:46:00.473407390+00:00,2.2
2020-12-07 07:47:00.485289594+00:00,2.19
2020-12-07 07:48:00.473787754+00:00,2.18
2020-12-07 07:50:00.474782698+00:00,2.17
2020-12-07 07:51:00.501410862+00:00,2.16
2020-12-07 07:52:00.471739422+00:00,2.15
2020-12-07 07:53:00.479805220+00:00,2.14
2020-12-07 07:55:00.469711072+00:00,2.13
2020-12-07 07:56:00.473247231+00:00,2.12
2020-12-07 07:57:00.479741280+00:00,2.11
2020-12-07 07:58:00.480901390+00:00,2.1
2020-12-07 07:59:00.479156506+00:00,2.09
2020-12-07 08:00:00.903861059+00:00,2.08
2020-12-07 08:01:00.486478087+00:00,2.07
2020-12-07 08:02:00.480160312+00:00,2.06
2020-12-07 08:03:00.483256547+00:00,2.05
2020-12-07 08:04:00.480610581+00:00,2.04
2020-12-07 08:05:00.475478644+00:00,2.03
2020-12-07 08:06:05.500761811+00:00,2.02
2020-12-07 08:06:55.500122838+00:00,2.03
2020-12-07 08:07:00.483729109+00:00,2.02
2020-12-07 08:08:00.478372767+00:00,2.01
2020-12-07 08:09:00.482081126+00:00,2.0
2020-12-07 08:10:00.477107645+00:00,1.99
2020-12-07 08:11:00.479696177+00:00,1.98
2020-12-07 08:12:00.484229452+00:00,1.97
2020-12-07 08:13:00.489521913+00:00,1.96
2020-12-07 08:14:00.467946311+00:00,1.95
2020-12-07 08:14:55.468735079+00:00,1.96
2020-12-07 08:15:00.516140977+00:00,1.95
2020-12-07 08:16:00.459683047+00:00,1.94
2020-12-07 08:17:00.484503272+00:00,1.93
2020-12-07 08:18:00.504540938+00:00,1.92
2020-12-07 08:19:00.528103354+00:00,1.91
2020-12-07 08:20:00.488608291+00:00,1.9
2020-12-07 08:21:00.489071712+00:00,1.89
2020-12-07 08:22:00.510709331+00:00,1.88
2020-12-07 08:23:00.538069413+00:00,1.87
2020-12-07 08:24:30.483049366+00:00,1.86
2020-12-07 08:24:35.481289808+00:00,1.87
2020-12-07 08:24:40.493675988+00:00,1.86
2020-12-07 08:26:00.505430977+00:00,1.85
2020-12-07 08:27:00.522927858+00:00,1.84
2020-12-07 08:28:00.513245254+00:00,1.83
2020-12-07 08:29:00.487288499+00:00,1.82
2020-12-07 08:30:00.478607739+00:00,1.81
2020-12-07 08:31:00.495718129+00:00,1.8
2020-12-07 08:32:00.494136525+00:00,1.79
2020-12-07 08:33:00.506969513+00:00,1.78
2020-12-07 08:34:00.499504750+00:00,1.77
2020-12-07 08:35:00.497440727+00:00,1.76
2020-12-07 08:37:00.491594543+00:00,1.75
2020-12-07 08:38:00.472648092+00:00,1.74
2020-12-07 08:39:00.501411604+00:00,1.73
2020-12-07 08:40:00.473774643+00:00,1.72
2020-12-07 08:41:00.486304682+00:00,1.71
2020-12-07 08:43:00.509080614+00:00,1.7
2020-12-07 08:44:00.492431182+00:00,1.69
2020-12-07 08:45:00.487681340+00:00,1.68
2020-12-07 08:46:00.480812167+00:00,1.67
2020-12-07 08:47:00.488819786+00:00,1.66
2020-12-07 08:48:00.487647348+00:00,1.65
2020-12-07 08:48:10.482186361+00:00,1.66
2020-12-07 08:48:20.471762834+00:00,1.65
2020-12-07 08:48:50.479801671+00:00,1.66
2020-12-07 08:49:00.491588422+00:00,1.65
2020-12-07 08:50:00.478019690+00:00,1.64
2020-12-07 08:51:00.490367198+00:00,1.63
2020-12-07 08:52:00.481931679+00:00,1.62
2020-12-07 08:53:00.485099340+00:00,1.61
2020-12-07 08:54:00.506847968+00:00,1.6
2020-12-07 08:55:00.477985012+00:00,1.59
2020-12-07 08:55:35.464639132+00:00,1.6
2020-12-07 08:55:45.473336053+00:00,1.59
2020-12-07 08:55:56.481784835+00:00,1.6
2020-12-07 08:56:00.475842409+00:00,1.59
2020-12-07 08:57:00.500328226+00:00,1.58
2020-12-07 08:58:00.500523782+00:00,1.57
2020-12-07 08:59:00.511328192+00:00,1.56
2020-12-07 09:00:00.908439786+00:00,1.55
2020-12-07 09:01:00.475788369+00:00,1.54
2020-12-07 09:02:15.488663684+00:00,1.53
2020-12-07 09:03:35.479105823+00:00,1.52
2020-12-07 09:04:40.487487699+00:00,1.51
2020-12-07 09:06:00.493835444+00:00,1.5
2020-12-07 09:07:00.481473297+00:00,1.49
2020-12-07 09:08:00.506592416+00:00,1.48
2020-12-07 09:09:00.496143049+00:00,1.47
2020-12-07 09:10:00.533119026+00:00,1.46
2020-12-07 09:11:10.480992995+00:00,1.45
2020-12-07 09:11:15.481892779+00:00,1.46
2020-12-07 09:11:20.484549282+00:00,1.45
2020-12-07 09:11:30.467828550+00:00,1.46
2020-12-07 09:12:00.493281359+00:00,1.45
2020-12-07 09:13:00.480774053+00:00,1.44
2020-12-07 09:14:00.491089965+00:00,1.43
2020-12-07 09:15:00.497878298+00:00,1.42
2020-12-07 09:16:00.491566346+00:00,1.41
2020-12-07 09:17:00.483983919+00:00,1.4
2020-12-07 09:18:20.482199403+00:00,1.39
2020-12-07 09:18:25.479791947+00:00,1.4
2020-12-07 09:18:40.497676713+00:00,1.39
2020-12-07 09:18:45.471900258+00:00,1.4
2020-12-07 09:18:55.479341100+00:00,1.39
2020-12-07 09:20:00.397007915+00:00,1.38
2020-12-07 09:21:00.498930976+00:00,1.37
2020-12-07 09:22:00.472396175+00:00,1.36
2020-12-07 09:23:00.492310937+00:00,1.35
2020-12-07 09:24:00.460529367+00:00,1.34
2020-12-07 09:25:00.537100631+00:00,1.33
2020-12-07 09:26:00.481977232+00:00,1.32
2020-12-07 09:26:15.472081038+00:00,1.33
2020-12-07 09:27:00.467001065+00:00,1.32
2020-12-07 09:28:00.496928649+00:00,1.31
2020-12-07 09:29:00.505269141+00:00,1.3
2020-12-07 09:30:00.498861428+00:00,1.29
2020-12-07 09:31:00.497287505+00:00,1.28
2020-12-07 09:32:00.492885588+00:00,1.27
2020-12-07 09:33:00.495874866+00:00,1.26
2020-12-07 09:35:00.482851653+00:00,1.25
2020-12-07 09:36:00.470952323+00:00,1.24
2020-12-07 09:37:00.493805395+00:00,1.23
2020-12-07 09:38:00.508588965+00:00,1.22
2020-12-07 09:39:00.475807915+00:00,1.21
2020-12-07 09:40:00.503938665+00:00,1.2
2020-12-07 09:42:00.489499235+00:00,1.19
2020-12-07 09:43:00.487588142+00:00,1.18
2020-12-07 09:44:00.482600548+00:00,1.17
2020-12-07 09:45:00.490611159+00:00,1.16
2020-12-07 09:46:00.479135319+00:00,1.15
2020-12-07 09:48:00.475422682+00:00,1.14
2020-12-07 09:49:00.466554499+00:00,1.13
2020-12-07 09:50:00.473494140+00:00,1.12
2020-12-07 09:51:00.489704891+00:00,1.11
2020-12-07 09:52:00.492389442+00:00,1.1
2020-12-07 09:53:00.497784458+00:00,1.09
2020-12-07 09:55:00.478510325+00:00,1.08
2020-12-07 09:56:00.486524328+00:00,1.07
2020-12-07 09:57:00.497747821+00:00,1.06
2020-12-07 09:58:00.509540510+00:00,1.05
2020-12-07 09:59:00.500038002+00:00,1.04
2020-12-07 10:00:01.004575590+00:00,1.03
2020-12-07 10:01:00.486864887+00:00,1.02
2020-12-07 10:02:00.481244964+00:00,1.01
2020-12-07 10:04:00.491121065+00:00,1.0
2020-12-07 10:05:00.492947627+00:00,0.99
2020-12-07 10:06:00.489738160+00:00,0.98
2020-12-07 10:07:00.497709606+00:00,0.97
2020-12-07 10:08:00.476221272+00:00,0.96
2020-12-07 10:09:00.464500194+00:00,0.95
2020-12-07 10:10:25.482526264+00:00,0.94
2020-12-07 10:12:00.488014528+00:00,0.93
2020-12-07 10:13:00.478471161+00:00,0.92
2020-12-07 10:14:00.483170517+00:00,0.91
2020-12-07 10:15:00.499498753+00:00,0.9
2020-12-07 10:17:00.502019566+00:00,0.89
